interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,nuclear
2023-12-01T21:00:00-05:00,2023-12-02T02:00:00+00:00,2023-12-01T22:00:00-05:00,2023-12-02T03:00:00+00:00,2170.04166666667
2023-12-01T22:00:00-05:00,2023-12-02T03:00:00+00:00,2023-12-01T23:00:00-05:00,2023-12-02T04:00:00+00:00,2217.40277777778
2023-12-01T23:00:00-05:00,2023-12-02T04:00:00+00:00,2023-12-02T00:00:00-05:00,2023-12-02T05:00:00+00:00,2258.45833333333
2023-12-02T00:00:00-05:00,2023-12-02T05:00:00+00:00,2023-12-02T01:00:00-05:00,2023-12-02T06:00:00+00:00,2302.79166666667
2023-12-02T01:00:00-05:00,2023-12-02T06:00:00+00:00,2023-12-02T02:00:00-05:00,2023-12-02T07:00:00+00:00,2361.5
2023-12-02T02:00:00-05:00,2023-12-02T07:00:00+00:00,2023-12-02T03:00:00-05:00,2023-12-02T08:00:00+00:00,2374.54166666667
2023-12-02T03:00:00-05:00,2023-12-02T08:00:00+00:00,2023-12-02T04:00:00-05:00,2023-12-02T09:00:00+00:00,2447.75
2023-12-02T04:00:00-05:00,2023-12-02T09:00:00+00:00,2023-12-02T05:00:00-05:00,2023-12-02T10:00:00+00:00,2516.83333333333
2023-12-02T05:00:00-05:00,2023-12-02T10:00:00+00:00,2023-12-02T06:00:00-05:00,2023-12-02T11:00:00+00:00,2551.375
2023-12-02T06:00:00-05:00,2023-12-02T11:00:00+00:00,2023-12-02T07:00:00-05:00,2023-12-02T12:00:00+00:00,2551.16666666667
2023-12-02T07:00:00-05:00,2023-12-02T12:00:00+00:00,2023-12-02T08:00:00-05:00,2023-12-02T13:00:00+00:00,2548.91666666667
2023-12-02T08:00:00-05:00,2023-12-02T13:00:00+00:00,2023-12-02T09:00:00-05:00,2023-12-02T14:00:00+00:00,2550.45833333333
2023-12-02T09:00:00-05:00,2023-12-02T14:00:00+00:00,2023-12-02T10:00:00-05:00,2023-12-02T15:00:00+00:00,2562.70833333333
2023-12-02T10:00:00-05:00,2023-12-02T15:00:00+00:00,2023-12-02T11:00:00-05:00,2023-12-02T16:00:00+00:00,2569.83333333333
2023-12-02T11:00:00-05:00,2023-12-02T16:00:00+00:00,2023-12-02T12:00:00-05:00,2023-12-02T17:00:00+00:00,2582.4375
2023-12-02T12:00:00-05:00,2023-12-02T17:00:00+00:00,2023-12-02T13:00:00-05:00,2023-12-02T18:00:00+00:00,2637.60416666667
2023-12-02T13:00:00-05:00,2023-12-02T18:00:00+00:00,2023-12-02T14:00:00-05:00,2023-12-02T19:00:00+00:00,2653.91666666667
2023-12-02T14:00:00-05:00,2023-12-02T19:00:00+00:00,2023-12-02T15:00:00-05:00,2023-12-02T20:00:00+00:00,2666.22222222222
2023-12-02T15:00:00-05:00,2023-12-02T20:00:00+00:00,2023-12-02T16:00:00-05:00,2023-12-02T21:00:00+00:00,2660.77777777778
2023-12-02T16:00:00-05:00,2023-12-02T21:00:00+00:00,2023-12-02T17:00:00-05:00,2023-12-02T22:00:00+00:00,2677.20833333333
2023-12-02T17:00:00-05:00,2023-12-02T22:00:00+00:00,2023-12-02T18:00:00-05:00,2023-12-02T23:00:00+00:00,2688.34722222222
2023-12-02T18:00:00-05:00,2023-12-02T23:00:00+00:00,2023-12-02T19:00:00-05:00,2023-12-03T00:00:00+00:00,2685.81944444444
