interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2024-05-31T20:00:00-04:00,2024-06-01T00:00:00+00:00,2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,32.06,29.990000000000002,-0.0,2.07
2024-05-31T21:00:00-04:00,2024-06-01T01:00:00+00:00,2024-05-31T22:00:00-04:00,2024-06-01T02:00:00+00:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,29.31,27.619999999999997,-0.0,1.69
2024-05-31T22:00:00-04:00,2024-06-01T02:00:00+00:00,2024-05-31T23:00:00-04:00,2024-06-01T03:00:00+00:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,26.15,24.689999999999998,-0.0,1.46
2024-05-31T23:00:00-04:00,2024-06-01T03:00:00+00:00,2024-06-01T00:00:00-04:00,2024-06-01T04:00:00+00:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,23.3,22.17,-0.0,1.13
2024-06-01T00:00:00-04:00,2024-06-01T04:00:00+00:00,2024-06-01T01:00:00-04:00,2024-06-01T05:00:00+00:00,DAY_AHEAD_HOURLY,N.Y.C.,Zone,22.21,21.03,-0.0,1.18
