title,filed_date,docket_numbers,category,libraries,accession_number,pdf_files,affiliations
"PJM Interconnection, L.L.C. submits request to update the service list under EL26-30 et al.",12/29/2025,"['RM26-4-000', 'EL25-49-001', 'EL25-20-000', 'EL26-30-000', 'EL25-49-000', 'AD24-11-000']",Submittal,['Electric'],,"[{'file_name': '20251229 Request to Update Service List AHelfer.pdf', 'file_desc': 'PJM Request to Update Service Lists', 'file_size': 133968, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=BF17ACCB-E799-CCF5-968F-9B6B18500000'}]","['RECIPIENT: Office of the Secretary, FERC', 'AUTHOR: PJM Interconnection, L.L.C.', 'AGENT: PJM Interconnection, L.L.C.']"
Reply Comments of ENGIE North America Inc. re the Notice Inviting Comments and Advanced Notice of Proposed Rulemaking under RM26-4.,12/08/2025,['RM26-4-000'],Submittal,['Electric'],,"[{'file_name': 'RM26-4 ENGIE ANOPR Reply Comments.pdf', 'file_desc': 'Reply comments of ENGIE North America, Inc. under RM26-4-000.', 'file_size': 205259, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=3C79B002-DCCB-CC6D-9D5B-9AFE14500000'}]","['AUTHOR: ENGIE North America Inc.', 'RECIPIENT: Office of the Secretary, FERC', 'AGENT: ENGIE North America Inc.']"
Reply Comments of International Energy Credit Association re the Notice Inviting Comments re the proposed Advanced Notice of Proposed Rulemaking under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['ElectricRulemaking'],,"[{'file_name': 'IECA Reply Comments (RM26-4-000) (Final).pdf', 'file_desc': 'Reply Comments of International Energy Credit Association', 'file_size': 228053, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=8BB3B122-3C3E-CD10-9E59-9AF088200000'}]","['AUTHOR: International Energy Credit Association', 'AGENT: Haynes and Boone LLP', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of Google LLC re the Advanced Notice of Proposed Rulemaking proposal re the Interconnection of Large Loads to the Interstate Transmission System under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'Reply Comments of Google LLC.pdf', 'file_desc': 'Reply Comments of Google LLC', 'file_size': 216396, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=88854AEB-309A-C2A0-A785-9AF082E00000'}]","['AUTHOR: Google LLC', 'AGENT: Wilson Sonsini Goodrich & Rosati, P.C.', 'RECIPIENT: Office of the Secretary, FERC', 'AUTHOR: Google LLC', 'AGENT: Google LLC']"
"Supporting Reply Comments of Constellation Energy Generation, LLC in support of Advance Notice of Proposed Rulemaking on Ensuring the Timely and Orderly Interconnection of Large Loads under RM26-4.",12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'Supporting Reply Comments of Constellation Energy.pdf', 'file_desc': 'No description given', 'file_size': 1326062, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=ED9AF575-7F29-CAC8-9C50-9AF07CB00000'}]","['AUTHOR: Constellation Energy Generation, LLC', 'AGENT: DLA Piper LLP (US)', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of the California Public Utilities Commission re FERC's 10/27/2025 Notice Inviting Comments on the Advance Notice of Proposed Rulemaking under RM26-4.,12/05/2025,['RM26-4-000'],Submittal,['ElectricRulemaking'],,"[{'file_name': 'FERC Docket NO. RM26-4-000 Reply Comments of the CPUC.pdf', 'file_desc': 'No description given', 'file_size': 277793, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=96DD97AF-D772-C4E5-9C50-9AF07B600000'}]","['AUTHOR: California Public Utilities Commission', 'AGENT: California Public Utilities Commission', 'RECIPIENT: Office of the Secretary, FERC']"
"Reply Comments of Switch, Ltd. re the Advanced Notice of Proposed Rulemaking on Interconnection of Large Loads to the Interstate Transmission System under RM26-4.",12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'Switch Reply Comments on FERC Large Load Interconnection ANOPR (Final 12.5.2025).pdf', 'file_desc': 'No description given', 'file_size': 16157, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=2B9FB08D-39B8-C625-9D5A-9AF07D900000'}]","['AUTHOR: Switch, Ltd.', 'AGENT: No Organization Found', 'RECIPIENT: Office of the Secretary, FERC']"
"Reply Comments of Eolian, L.P. in response to the Notice Inviting Comments and Advanced Notice of Proposed Rulemaking under RM26-4.",12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'Reply Comments of Eolian L.P. on Large Load ANOPR.pdf', 'file_desc': 'Reply Comments of Eolian L.P. on Large Load ANOPR', 'file_size': 586166, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=497C44BD-4F53-C0A6-9D81-9AF071F00000'}]","['RECIPIENT: Office of the Secretary, FERC', 'AGENT: Roselle LLP', 'AUTHOR: Eolian, L.P.']"
"Reply Comments of The Pew Charitable Trusts, Energy Modernization Project in response to the Advance Notice of Proposed Rulemaking on Ensuring the Timely and Orderly Interconnection of Large Loads under RM26-4.",12/05/2025,['RM26-4-000'],Submittal,['ElectricRulemaking'],,"[{'file_name': 'Pew Reply Comments to FERC Large Load Interconnection ANOPR Docket RM26-4-000.pdf', 'file_desc': 'Reply Comments of The Pew Charitable Trusts under RM26-4-000.', 'file_size': 337732, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=12BB8913-2A8B-CBDC-9DF1-9AF061100000'}]","['AGENT: The Pew Charitable Trusts', 'AUTHOR: The Pew Charitable Trusts', 'RECIPIENT: Office of the Secretary, FERC']"
Reply Comments of American Transmission Company LLC in response to the Notice Inviting Comments and Advanced Notice of Proposed Rulemaking under RM26-4,12/05/2025,['RM26-4-000'],Submittal,['RulemakingElectric'],,"[{'file_name': 'Reply Comments of American Transmission Company.pdf', 'file_desc': 'Reply Comments of American Transmission Company in response to the Notice Inviting Comments and Adva', 'file_size': 217346, 'download_url': 'https://elibrary.ferc.gov/eLibrary/filedownload?fileid=A659E5EB-2339-C47C-9E5D-9AF05AE00000'}]","['AUTHOR: American Transmission Company LLC', 'AGENT: ATC 1, LLC', 'RECIPIENT: Office of the Secretary, FERC']"
