interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2022-12-31T19:00:00-05:00,2023-01-01T00:00:00+00:00,2022-12-31T19:05:00-05:00,2023-01-01T00:05:00+00:00,1.0
2022-12-31T19:05:00-05:00,2023-01-01T00:05:00+00:00,2022-12-31T19:10:00-05:00,2023-01-01T00:10:00+00:00,1.0
2022-12-31T19:10:00-05:00,2023-01-01T00:10:00+00:00,2022-12-31T19:15:00-05:00,2023-01-01T00:15:00+00:00,1.0
2022-12-31T19:15:00-05:00,2023-01-01T00:15:00+00:00,2022-12-31T19:20:00-05:00,2023-01-01T00:20:00+00:00,1.0
2022-12-31T19:20:00-05:00,2023-01-01T00:20:00+00:00,2022-12-31T19:25:00-05:00,2023-01-01T00:25:00+00:00,1.0
2022-12-31T19:25:00-05:00,2023-01-01T00:25:00+00:00,2022-12-31T19:30:00-05:00,2023-01-01T00:30:00+00:00,1.0
2022-12-31T19:30:00-05:00,2023-01-01T00:30:00+00:00,2022-12-31T19:35:00-05:00,2023-01-01T00:35:00+00:00,1.0
2022-12-31T19:35:00-05:00,2023-01-01T00:35:00+00:00,2022-12-31T19:40:00-05:00,2023-01-01T00:40:00+00:00,1.0
2022-12-31T19:40:00-05:00,2023-01-01T00:40:00+00:00,2022-12-31T19:45:00-05:00,2023-01-01T00:45:00+00:00,1.0
2022-12-31T19:45:00-05:00,2023-01-01T00:45:00+00:00,2022-12-31T19:50:00-05:00,2023-01-01T00:50:00+00:00,1.0
2022-12-31T19:50:00-05:00,2023-01-01T00:50:00+00:00,2022-12-31T19:55:00-05:00,2023-01-01T00:55:00+00:00,1.0
2022-12-31T19:55:00-05:00,2023-01-01T00:55:00+00:00,2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,1.0
2022-12-31T20:00:00-05:00,2023-01-01T01:00:00+00:00,2022-12-31T20:05:00-05:00,2023-01-01T01:05:00+00:00,1.0
2022-12-31T20:05:00-05:00,2023-01-01T01:05:00+00:00,2022-12-31T20:10:00-05:00,2023-01-01T01:10:00+00:00,1.0
2022-12-31T20:10:00-05:00,2023-01-01T01:10:00+00:00,2022-12-31T20:15:00-05:00,2023-01-01T01:15:00+00:00,1.0
2022-12-31T20:15:00-05:00,2023-01-01T01:15:00+00:00,2022-12-31T20:20:00-05:00,2023-01-01T01:20:00+00:00,1.0
2022-12-31T20:20:00-05:00,2023-01-01T01:20:00+00:00,2022-12-31T20:25:00-05:00,2023-01-01T01:25:00+00:00,1.0
2022-12-31T20:25:00-05:00,2023-01-01T01:25:00+00:00,2022-12-31T20:30:00-05:00,2023-01-01T01:30:00+00:00,1.0
2022-12-31T20:30:00-05:00,2023-01-01T01:30:00+00:00,2022-12-31T20:35:00-05:00,2023-01-01T01:35:00+00:00,1.0
2022-12-31T20:35:00-05:00,2023-01-01T01:35:00+00:00,2022-12-31T20:40:00-05:00,2023-01-01T01:40:00+00:00,1.0
2022-12-31T20:40:00-05:00,2023-01-01T01:40:00+00:00,2022-12-31T20:45:00-05:00,2023-01-01T01:45:00+00:00,1.0
2022-12-31T20:45:00-05:00,2023-01-01T01:45:00+00:00,2022-12-31T20:50:00-05:00,2023-01-01T01:50:00+00:00,1.0
2022-12-31T20:50:00-05:00,2023-01-01T01:50:00+00:00,2022-12-31T20:55:00-05:00,2023-01-01T01:55:00+00:00,1.0
2022-12-31T20:55:00-05:00,2023-01-01T01:55:00+00:00,2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,1.0
2022-12-31T21:00:00-05:00,2023-01-01T02:00:00+00:00,2022-12-31T21:05:00-05:00,2023-01-01T02:05:00+00:00,1.0
2022-12-31T21:05:00-05:00,2023-01-01T02:05:00+00:00,2022-12-31T21:10:00-05:00,2023-01-01T02:10:00+00:00,1.0
