interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,market,location,location_type,pnode,lmp,energy,congestion,loss
2023-12-31T18:00:00-06:00,2024-01-01T00:00:00+00:00,2023-12-31T19:00:00-06:00,2024-01-01T01:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,24.6892,25.5531,-0.3702,-0.4937
2023-12-31T18:00:00-06:00,2024-01-01T00:00:00+00:00,2023-12-31T19:00:00-06:00,2024-01-01T01:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,25.1649,25.553,-0.5037,0.1156
2023-12-31T19:00:00-06:00,2024-01-01T01:00:00+00:00,2023-12-31T20:00:00-06:00,2024-01-01T02:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,22.6507,24.7599,-1.6858,-0.4234
2023-12-31T19:00:00-06:00,2024-01-01T01:00:00+00:00,2023-12-31T20:00:00-06:00,2024-01-01T02:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,24.7773,24.7598,-0.1337,0.1512
2023-12-31T20:00:00-06:00,2024-01-01T02:00:00+00:00,2023-12-31T21:00:00-06:00,2024-01-01T03:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,25.0931,25.382,-0.0414,-0.2475
2023-12-31T20:00:00-06:00,2024-01-01T02:00:00+00:00,2023-12-31T21:00:00-06:00,2024-01-01T03:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,24.9793,25.3819,-0.5831,0.1805
2023-12-31T21:00:00-06:00,2024-01-01T03:00:00+00:00,2023-12-31T22:00:00-06:00,2024-01-01T04:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,25.3319,25.3478,0.2938,-0.3097
2023-12-31T21:00:00-06:00,2024-01-01T03:00:00+00:00,2023-12-31T22:00:00-06:00,2024-01-01T04:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,24.3443,25.3478,-1.3011,0.2976
2023-12-31T22:00:00-06:00,2024-01-01T04:00:00+00:00,2023-12-31T23:00:00-06:00,2024-01-01T05:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,26.9785,27.0208,0.2491,-0.2914
2023-12-31T22:00:00-06:00,2024-01-01T04:00:00+00:00,2023-12-31T23:00:00-06:00,2024-01-01T05:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,25.9496,27.0208,-1.3458,0.2746
2023-12-31T23:00:00-06:00,2024-01-01T05:00:00+00:00,2024-01-01T00:00:00-06:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,23.8825,24.3677,-0.0479,-0.4373
2023-12-31T23:00:00-06:00,2024-01-01T05:00:00+00:00,2024-01-01T00:00:00-06:00,2024-01-01T06:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,24.0179,24.3677,-0.6922,0.3424
2024-01-01T00:00:00-06:00,2024-01-01T06:00:00+00:00,2024-01-01T01:00:00-06:00,2024-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,27.5427,27.008,-0.0194,0.5541
2024-01-01T00:00:00-06:00,2024-01-01T06:00:00+00:00,2024-01-01T01:00:00-06:00,2024-01-01T07:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,26.4324,27.0081,-0.0662,-0.5095
2024-01-01T01:00:00-06:00,2024-01-01T07:00:00+00:00,2024-01-01T02:00:00-06:00,2024-01-01T08:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,26.1057,25.755,-0.0479,0.3986
2024-01-01T01:00:00-06:00,2024-01-01T07:00:00+00:00,2024-01-01T02:00:00-06:00,2024-01-01T08:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,25.342,25.755,-0.0355,-0.3775
2024-01-01T02:00:00-06:00,2024-01-01T08:00:00+00:00,2024-01-01T03:00:00-06:00,2024-01-01T09:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,26.8852,26.5412,-0.0489,0.3929
2024-01-01T02:00:00-06:00,2024-01-01T08:00:00+00:00,2024-01-01T03:00:00-06:00,2024-01-01T09:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,26.1681,26.5412,-0.037,-0.3361
2024-01-01T03:00:00-06:00,2024-01-01T09:00:00+00:00,2024-01-01T04:00:00-06:00,2024-01-01T10:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,27.0418,26.7445,-0.0502,0.3475
2024-01-01T03:00:00-06:00,2024-01-01T09:00:00+00:00,2024-01-01T04:00:00-06:00,2024-01-01T10:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,26.401,26.7446,-0.0379,-0.3057
2024-01-01T04:00:00-06:00,2024-01-01T10:00:00+00:00,2024-01-01T05:00:00-06:00,2024-01-01T11:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,27.7307,27.611,-0.0502,0.1699
2024-01-01T04:00:00-06:00,2024-01-01T10:00:00+00:00,2024-01-01T05:00:00-06:00,2024-01-01T11:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,27.4814,27.611,-0.0378,-0.0918
2024-01-01T05:00:00-06:00,2024-01-01T11:00:00+00:00,2024-01-01T06:00:00-06:00,2024-01-01T12:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,29.1151,29.0757,-0.0441,0.0835
2024-01-01T05:00:00-06:00,2024-01-01T11:00:00+00:00,2024-01-01T06:00:00-06:00,2024-01-01T12:00:00+00:00,DAY_AHEAD_HOURLY,SPPSOUTH_HUB,Hub,SPPSOUTH_H,29.1365,29.0757,-0.0332,0.094
2024-01-01T06:00:00-06:00,2024-01-01T12:00:00+00:00,2024-01-01T07:00:00-06:00,2024-01-01T13:00:00+00:00,DAY_AHEAD_HOURLY,SPPNORTH_HUB,Hub,SPPNORTH_H,32.8514,32.9497,-0.0094,-0.0889
