interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,nuclear
2023-12-01T07:00:00-05:00,2023-12-01T12:00:00+00:00,2023-12-01T08:00:00-05:00,2023-12-01T13:00:00+00:00,2121.04166666667
2023-12-01T08:00:00-05:00,2023-12-01T13:00:00+00:00,2023-12-01T09:00:00-05:00,2023-12-01T14:00:00+00:00,2120.625
2023-12-01T09:00:00-05:00,2023-12-01T14:00:00+00:00,2023-12-01T10:00:00-05:00,2023-12-01T15:00:00+00:00,2121.79166666667
2023-12-01T10:00:00-05:00,2023-12-01T15:00:00+00:00,2023-12-01T11:00:00-05:00,2023-12-01T16:00:00+00:00,2121.58333333333
2023-12-01T11:00:00-05:00,2023-12-01T16:00:00+00:00,2023-12-01T12:00:00-05:00,2023-12-01T17:00:00+00:00,2121.54166666667
2023-12-01T12:00:00-05:00,2023-12-01T17:00:00+00:00,2023-12-01T13:00:00-05:00,2023-12-01T18:00:00+00:00,2121.54166666667
2023-12-01T13:00:00-05:00,2023-12-01T18:00:00+00:00,2023-12-01T14:00:00-05:00,2023-12-01T19:00:00+00:00,2120.875
2023-12-01T14:00:00-05:00,2023-12-01T19:00:00+00:00,2023-12-01T15:00:00-05:00,2023-12-01T20:00:00+00:00,2121.58333333333
2023-12-01T15:00:00-05:00,2023-12-01T20:00:00+00:00,2023-12-01T16:00:00-05:00,2023-12-01T21:00:00+00:00,2122.58333333333
2023-12-01T16:00:00-05:00,2023-12-01T21:00:00+00:00,2023-12-01T17:00:00-05:00,2023-12-01T22:00:00+00:00,2121.41666666667
2023-12-01T17:00:00-05:00,2023-12-01T22:00:00+00:00,2023-12-01T18:00:00-05:00,2023-12-01T23:00:00+00:00,2121.0
2023-12-01T18:00:00-05:00,2023-12-01T23:00:00+00:00,2023-12-01T19:00:00-05:00,2023-12-02T00:00:00+00:00,2120.70833333333
2023-12-01T19:00:00-05:00,2023-12-02T00:00:00+00:00,2023-12-01T20:00:00-05:00,2023-12-02T01:00:00+00:00,2120.45833333333
2023-12-01T20:00:00-05:00,2023-12-02T01:00:00+00:00,2023-12-01T21:00:00-05:00,2023-12-02T02:00:00+00:00,2124.625
2023-12-01T21:00:00-05:00,2023-12-02T02:00:00+00:00,2023-12-01T22:00:00-05:00,2023-12-02T03:00:00+00:00,2170.04166666667
2023-12-01T22:00:00-05:00,2023-12-02T03:00:00+00:00,2023-12-01T23:00:00-05:00,2023-12-02T04:00:00+00:00,2217.40277777778
2023-12-01T23:00:00-05:00,2023-12-02T04:00:00+00:00,2023-12-02T00:00:00-05:00,2023-12-02T05:00:00+00:00,2258.45833333333
2023-12-02T00:00:00-05:00,2023-12-02T05:00:00+00:00,2023-12-02T01:00:00-05:00,2023-12-02T06:00:00+00:00,2302.79166666667
2023-12-02T01:00:00-05:00,2023-12-02T06:00:00+00:00,2023-12-02T02:00:00-05:00,2023-12-02T07:00:00+00:00,2361.5
2023-12-02T02:00:00-05:00,2023-12-02T07:00:00+00:00,2023-12-02T03:00:00-05:00,2023-12-02T08:00:00+00:00,2374.54166666667
2023-12-02T03:00:00-05:00,2023-12-02T08:00:00+00:00,2023-12-02T04:00:00-05:00,2023-12-02T09:00:00+00:00,2447.75
2023-12-02T04:00:00-05:00,2023-12-02T09:00:00+00:00,2023-12-02T05:00:00-05:00,2023-12-02T10:00:00+00:00,2516.83333333333
2023-12-02T05:00:00-05:00,2023-12-02T10:00:00+00:00,2023-12-02T06:00:00-05:00,2023-12-02T11:00:00+00:00,2551.375
2023-12-02T06:00:00-05:00,2023-12-02T11:00:00+00:00,2023-12-02T07:00:00-05:00,2023-12-02T12:00:00+00:00,2551.16666666667
