timestamp_utc,system_energy_price_da
2023-06-01 00:00:00+00:00,37.06
2023-06-01 01:00:00+00:00,33.35
2023-06-01 02:00:00+00:00,26.38
2023-06-01 03:00:00+00:00,24.16
2023-06-01 04:00:00+00:00,19.53
2023-06-01 05:00:00+00:00,17.45
2023-06-01 06:00:00+00:00,15.87
2023-06-01 07:00:00+00:00,15.17
2023-06-01 08:00:00+00:00,16.04
2023-06-01 09:00:00+00:00,18.25
2023-06-01 10:00:00+00:00,21.7
2023-06-01 11:00:00+00:00,22.86
2023-06-01 12:00:00+00:00,25.27
2023-06-01 13:00:00+00:00,29.38
2023-06-01 14:00:00+00:00,31.2
2023-06-01 15:00:00+00:00,36.25
2023-06-01 16:00:00+00:00,43.12
2023-06-01 17:00:00+00:00,45.8
2023-06-01 18:00:00+00:00,52.14
2023-06-01 19:00:00+00:00,57.3
2023-06-01 20:00:00+00:00,68.51
2023-06-01 21:00:00+00:00,76.82
2023-06-01 22:00:00+00:00,63.28
2023-06-01 23:00:00+00:00,51.0
2023-06-02 00:00:00+00:00,41.26
2023-06-02 01:00:00+00:00,36.35
2023-06-02 02:00:00+00:00,29.39
2023-06-02 03:00:00+00:00,27.31
2023-06-02 04:00:00+00:00,22.74
2023-06-02 05:00:00+00:00,20.07
2023-06-02 06:00:00+00:00,17.19
2023-06-02 07:00:00+00:00,15.2
2023-06-02 08:00:00+00:00,15.42
2023-06-02 09:00:00+00:00,18.11
2023-06-02 10:00:00+00:00,21.63
2023-06-02 11:00:00+00:00,22.46
2023-06-02 12:00:00+00:00,25.39
2023-06-02 13:00:00+00:00,27.28
2023-06-02 14:00:00+00:00,31.8
2023-06-02 15:00:00+00:00,35.62
2023-06-02 16:00:00+00:00,44.03
2023-06-02 17:00:00+00:00,48.17
2023-06-02 18:00:00+00:00,56.44
2023-06-02 19:00:00+00:00,67.46
2023-06-02 20:00:00+00:00,83.11
2023-06-02 21:00:00+00:00,82.55
2023-06-02 22:00:00+00:00,66.0
2023-06-02 23:00:00+00:00,49.16
2023-06-03 00:00:00+00:00,39.23
2023-06-03 01:00:00+00:00,32.72
2023-06-03 02:00:00+00:00,29.95
2023-06-03 03:00:00+00:00,24.94
2023-06-03 04:00:00+00:00,21.63
